City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Verkhnyaya Inta,RU,2021-04-12 21:41:34,65.9811,60.3094,35.76,83,100,22.17
264,Maragogi,BR,2021-04-12 21:41:34,-9.0122,-35.2225,78.42,82,77,6.49
265,Itarema,BR,2021-04-12 21:41:35,-2.9248,-39.9167,79.74,81,27,12.41
266,Metro,ID,2021-04-12 21:41:35,-5.1131,105.3067,73.24,93,34,4.63
267,Dingle,PH,2021-04-12 21:41:35,10.9995,122.6711,75.85,87,96,4.14
268,Salalah,OM,2021-04-12 21:40:57,17.0151,54.0924,80.6,74,20,3.44
269,Pavlodar,KZ,2021-04-12 21:41:36,52.3,76.95,32.0,86,0,2.24
270,Lavrentiya,RU,2021-04-12 21:41:36,65.5833,-171.0,12.97,92,100,14.7
271,Caraz,PE,2021-04-12 21:41:36,-9.0486,-77.81,67.03,78,99,2.04
272,Makushino,RU,2021-04-12 21:41:37,55.2103,67.2442,31.69,97,58,2.06
273,Honiara,SB,2021-04-12 21:41:37,-9.4333,159.95,82.17,75,73,4.27
274,Humboldt,US,2021-04-12 21:41:38,40.6665,-123.9178,61.0,67,20,16.11
275,Bocaiuva,BR,2021-04-12 21:41:12,-17.1078,-43.815,82.4,44,0,4.36
276,Porosozero,RU,2021-04-12 21:40:36,62.7191,32.727,41.61,89,100,8.48
277,Plettenberg Bay,ZA,2021-04-12 21:41:38,-34.0527,23.3716,63.52,83,100,2.77
278,Issoire,FR,2021-04-12 21:41:39,45.55,3.25,39.2,56,0,2.3
279,Norman Wells,CA,2021-04-12 21:41:39,65.282,-126.8329,23.0,42,75,11.5
280,Bilibino,RU,2021-04-12 21:41:39,68.0546,166.4372,-4.61,67,39,0.31
281,Leh,IN,2021-04-12 21:41:40,34.1667,77.5833,28.94,65,11,2.95
282,Upington,ZA,2021-04-12 21:41:40,-28.4478,21.2561,73.4,35,1,3.44
283,Linxia,CN,2021-04-12 21:41:41,35.6003,103.2064,42.82,79,75,3.98
284,Tombouctou,ML,2021-04-12 21:41:41,20.0,-3.0,89.56,9,1,7.05
285,Tezu,IN,2021-04-12 21:41:41,27.9167,96.1667,71.78,40,69,4.85
286,Fort Nelson,CA,2021-04-12 21:38:05,58.8053,-122.7002,44.6,29,75,3.44
287,Kaitangata,NZ,2021-04-12 21:41:42,-46.2817,169.8464,54.23,91,100,3.42
288,Putatan,MY,2021-04-12 21:41:42,5.9258,116.0609,75.2,88,20,5.75
289,Ndele,CF,2021-04-12 21:41:43,8.4109,20.6473,77.9,36,69,1.63
290,Ouadda,CF,2021-04-12 21:41:43,8.0777,22.4007,70.56,63,77,1.3
291,Escanaba,US,2021-04-12 21:41:43,45.7453,-87.0646,48.0,93,90,8.05
292,Klaksvik,FO,2021-04-12 21:39:56,62.2266,-6.589,33.8,69,75,1.14
293,Sinnamary,GF,2021-04-12 21:41:44,5.3833,-52.95,78.12,88,24,9.64
