City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Bereda,ES,43.2686,-7.5406,39.0,85,12,8.01,few clouds
298,Mirnyy,RU,62.5353,113.9611,12.42,85,98,13.56,overcast clouds
299,Chunoyar,RU,57.4467,97.3217,30.15,87,100,8.81,overcast clouds
300,Dorokhovo,RU,55.5506,36.3744,53.6,47,0,15.66,clear sky
301,Ahuimanu,US,21.4447,-157.8378,80.01,61,20,5.75,few clouds
302,Filingue,NE,14.3521,3.3168,87.4,4,74,6.17,broken clouds
303,Kaspiysk,RU,42.8816,47.6392,44.6,93,5,8.95,clear sky
304,Sao Borja,BR,-28.6606,-56.0044,72.95,76,59,6.76,broken clouds
305,Palmer,US,42.1584,-72.3287,37.99,87,90,17.27,light rain
306,Las Cruces,US,32.3123,-106.7783,77.0,10,1,11.5,clear sky
307,Dunedin,NZ,-45.8742,170.5036,52.0,59,10,10.0,clear sky
308,Vaitape,PF,-16.5167,-151.75,82.36,73,11,9.04,few clouds
309,Salalah,OM,17.0151,54.0924,80.6,78,0,5.75,clear sky
310,Torbay,CA,47.6666,-52.7314,33.01,93,90,20.71,light snow
311,Sola,VU,-13.8833,167.55,82.53,69,50,15.28,scattered clouds
312,La Ronge,CA,55.1001,-105.2842,53.6,28,19,3.44,few clouds
313,Constantine,DZ,36.365,6.6147,44.6,93,75,12.66,broken clouds
314,Nishihara,JP,26.1842,127.7558,73.4,88,75,13.8,broken clouds
315,Vao,NC,-22.6667,167.4833,73.9,81,24,17.27,few clouds
316,Brigantine,US,39.4101,-74.3646,55.4,44,90,14.97,overcast clouds
317,Resistencia,AR,-27.4606,-58.9839,77.0,73,75,5.75,light rain
318,Murgab,TM,37.4966,61.9714,66.2,42,40,7.65,scattered clouds
319,Lata,PT,40.1629,-8.3327,61.0,85,22,3.22,few clouds
320,Okahandja,NA,-21.9833,16.9167,64.99,45,3,8.05,clear sky
321,Esperance,AU,-33.8667,121.9,51.8,82,95,8.05,overcast clouds
322,Kwinana,AU,-32.25,115.7667,60.8,59,49,12.66,scattered clouds
323,Taft,IR,31.7471,54.2088,69.8,24,40,9.22,scattered clouds
324,Chabahar,IR,25.2919,60.643,80.51,71,16,11.56,few clouds
325,Oxford,GB,51.7522,-1.256,41.0,70,0,6.91,clear sky
326,Takab,IR,36.4009,47.1133,49.39,36,84,4.54,broken clouds
327,Erdenet,MN,49.0333,104.0833,29.82,67,4,6.17,clear sky
328,Ladario,BR,-19.0047,-57.6017,91.4,58,20,3.44,few clouds
329,Yatou,CN,37.15,122.3833,43.39,80,73,10.87,broken clouds
330,Huarmey,PE,-10.0681,-78.1522,71.92,76,83,9.82,broken clouds
331,Madawaska,US,47.3561,-68.3288,44.6,53,100,10.36,overcast clouds
332,Garhi Khairo,PK,28.0606,67.9803,76.57,43,70,1.68,broken clouds
333,Verkhnyaya Inta,RU,65.9811,60.3094,20.32,91,100,3.85,light snow
334,Flin Flon,CA,54.7682,-101.865,50.0,37,1,5.75,clear sky
335,Yenangyaung,MM,20.4667,94.8833,80.01,53,87,11.34,overcast clouds
336,Hermiston,US,45.8404,-119.2895,73.0,21,0,11.99,clear sky
337,Yar-Sale,RU,66.8333,70.8333,7.21,92,90,18.45,overcast clouds
338,Hasaki,JP,35.7333,140.8333,55.4,94,75,2.3,broken clouds
339,Yaguachi,EC,-2.1167,-79.6833,89.6,55,40,5.75,light rain
340,Bara,NG,10.3744,10.7288,83.46,17,47,1.57,scattered clouds
341,Kalabo,ZM,-14.97,22.6814,65.95,57,8,5.03,clear sky
342,Pishin,PK,30.5803,66.9961,60.55,26,1,5.06,clear sky
343,Solano,US,38.2333,-121.9511,79.0,29,1,12.66,clear sky
344,Tabas,IR,33.5959,56.9244,67.57,45,38,6.64,scattered clouds
345,Sinnamary,GF,5.3833,-52.95,78.46,81,76,11.21,broken clouds
346,Sechelt,CA,49.4664,-123.7694,68.0,55,1,1.99,clear sky
347,Akhalgori,GE,42.126,44.4833,55.4,67,0,5.99,clear sky
348,Kautokeino,NO,69.0125,23.0412,22.06,89,100,5.88,overcast clouds
